importance_rank,feature,source_group,data_type,definition,model_use,intuitive_risk_direction,intuitive_reason,observed_model_direction,direct_mean_abs_shap_log_odds,missing_indicator_mean_abs_shap_log_odds,total_mean_abs_shap_log_odds,direct_gain,missing_indicator_gain,total_gain,split_count,missing_rate,missing_effect_log_odds,value_shap_spearman,value_target_spearman,upper_minus_lower_shap,upper_minus_lower_event_rate_pp,category_effect_detail,shap_share,gain_share,importance_tier,strongest_related_feature,strongest_absolute_association,association_method,related_features_ge_0_50,substitutability_assessment
11,EXT_SOURCE_1,External scores,numeric,Normalized score from external data source,median imputation + missingness indicator when needed + LightGBM splits,higher -> less risk,"Stronger score, resources, tenure, down payment, or repayment completeness should reduce risk.",higher -> less risk,0.012784835705216059,0.03936170753122771,0.05214654323644377,3667.2543444633484,2584.3468403816223,6251.601184844971,283,0.5633143278340235,0.08001160875959842,-0.8383887342125244,-0.152846606392754,-0.05892148044536814,-10.663224781572678,{},0.016724181538060146,0.010093778227031731,Tier 1 - dominant,EXT_SOURCE_MEAN,0.744456621921906,Spearman rho,"[{""feature"": ""EXT_SOURCE_MEAN"", ""absolute_association"": 0.744457, ""method"": ""Spearman rho""}, {""feature"": ""EXT_SOURCE_MAX"", ""absolute_association"": 0.650073, ""method"": ""Spearman rho""}, {""feature"": ""EXT_SOURCE_MIN"", ""absolute_association"": 0.615768, ""method"": ""Spearman rho""}]","related signal, but too weak to treat as a substitute"
12,EXT_SOURCE_MIN,External scores,numeric,Minimum of the available external credit-score signals.,median imputation + missingness indicator when needed + LightGBM splits,higher -> less risk,"Stronger score, resources, tenure, down payment, or repayment completeness should reduce risk.",higher -> less risk,0.051926273731732024,0.0,0.051926273731732024,23126.614185333252,0.0,23126.614185333252,374,0.0004986233659245127,0.0,-0.3141004043049466,-0.18446683735872238,-0.11529994558110722,-13.219173845264113,{},0.01665353779150547,0.0373400202326996,Tier 1 - dominant,EXT_SOURCE_MEAN,0.9001805048343823,Spearman rho,"[{""feature"": ""EXT_SOURCE_MEAN"", ""absolute_association"": 0.900181, ""method"": ""Spearman rho""}, {""feature"": ""EXT_SOURCE_STD"", ""absolute_association"": 0.662701, ""method"": ""Spearman rho""}, {""feature"": ""EXT_SOURCE_2"", ""absolute_association"": 0.622938, ""method"": ""Spearman rho""}, {""feature"": ""EXT_SOURCE_1"", ""absolute_association"": 0.615768, ""method"": ""Spearman rho""}, {""feature"": ""EXT_SOURCE_3"", ""absolute_association"": 0.602896, ""method"": ""Spearman rho""}]",high redundancy candidate; validate with grouped ablation before removing
13,POS_INSTALLMENT_COUNT_MAX,POS/cash loan history,numeric,POS/cash loan history aggregate: installment count max.,median imputation + missingness indicator when needed + LightGBM splits,context-dependent,The aggregate can be beneficial or adverse depending on the underlying behavior and interactions.,higher -> more risk,0.0493917464564906,0.0,0.0493917464564906,3465.589776277542,0.0,3465.589776277542,182,0.060463502937542005,0.0,0.7472601472216962,0.003703748384365843,0.09496662959929042,0.0326528902547335,{},0.015840676734309278,0.005595509629183342,Tier 1 - dominant,POS_INSTALLMENT_COUNT_MEAN,0.905400842035533,Spearman rho,"[{""feature"": ""POS_INSTALLMENT_COUNT_MEAN"", ""absolute_association"": 0.905401, ""method"": ""Spearman rho""}, {""feature"": ""POS_FUTURE_INSTALLMENTS_MEAN"", ""absolute_association"": 0.899458, ""method"": ""Spearman rho""}, {""feature"": ""PREV_PAYMENT_COUNT_MAX"", ""absolute_association"": 0.840565, ""method"": ""Spearman rho""}, {""feature"": ""PREV_PAYMENT_COUNT_MEAN"", ""absolute_association"": 0.747839, ""method"": ""Spearman rho""}, {""feature"": ""INST_PAID_SUM"", ""absolute_association"": 0.680693, ""method"": ""Spearman rho""}]",high redundancy candidate; validate with grouped ablation before removing
14,POS_FUTURE_INSTALLMENTS_MEAN,POS/cash loan history,numeric,POS/cash loan history aggregate: future installments mean.,median imputation + missingness indicator when needed + LightGBM splits,context-dependent,The aggregate can be beneficial or adverse depending on the underlying behavior and interactions.,higher -> more risk,0.04852186546670799,0.0,0.04852186546670799,6577.3401918411255,0.0,6577.3401918411255,338,0.060463502937542005,0.0,0.8315352680860574,0.019256485656559855,0.13756433095570966,1.4893178694305689,{},0.015561692803894795,0.010619713455351044,Tier 1 - dominant,POS_INSTALLMENT_COUNT_MEAN,0.9441372645324281,Spearman rho,"[{""feature"": ""POS_INSTALLMENT_COUNT_MEAN"", ""absolute_association"": 0.944137, ""method"": ""Spearman rho""}, {""feature"": ""POS_INSTALLMENT_COUNT_MAX"", ""absolute_association"": 0.899458, ""method"": ""Spearman rho""}, {""feature"": ""PREV_PAYMENT_COUNT_MEAN"", ""absolute_association"": 0.752344, ""method"": ""Spearman rho""}, {""feature"": ""PREV_PAYMENT_COUNT_MAX"", ""absolute_association"": 0.742041, ""method"": ""Spearman rho""}, {""feature"": ""PREV_ANNUITY_TO_CREDIT_MEAN"", ""absolute_association"": 0.702325, ""method"": ""Spearman rho""}]",high redundancy candidate; validate with grouped ablation before removing
15,DOWN_PAYMENT_RATE,Application derived,numeric,Implied down payment divided by goods price.,median imputation + missingness indicator when needed + LightGBM splits,higher -> less risk,"Stronger score, resources, tenure, down payment, or repayment completeness should reduce risk.",higher -> less risk,0.045910677152446594,0.0,0.045910677152446594,6146.362581253052,0.0,6146.362581253052,173,0.000845491794393739,0.0,-0.924683655669731,-0.06972116754914225,-0.1163295046371017,-4.3168700618808495,{},0.014724245397270744,0.009923860937977138,Tier 1 - dominant,CREDIT_TO_GOODS,1.0,Spearman rho,"[{""feature"": ""CREDIT_TO_GOODS"", ""absolute_association"": 1.0, ""method"": ""Spearman rho""}]",high redundancy candidate; validate with grouped ablation before removing
16,INST_RECENT_12M_LATE_COUNT,Installment repayments,numeric,Installment repayments aggregate: recent 12m late count.,median imputation + missingness indicator when needed + LightGBM splits,higher -> more risk,"More arrears, burden, utilization, refusals, or missingness should raise risk.",higher -> more risk,0.04586826122510355,0.0,0.04586826122510355,4520.438403129578,0.0,4520.438403129578,142,0.05263728402020509,0.0,0.7090954924361998,0.06380065572156496,0.029633023976402658,0.8916780900501492,{},0.014710641970754553,0.007298658596578234,Tier 1 - dominant,INST_RECENT_24M_LATE_COUNT,0.7947406192841244,Spearman rho,"[{""feature"": ""INST_RECENT_24M_LATE_COUNT"", ""absolute_association"": 0.794741, ""method"": ""Spearman rho""}, {""feature"": ""INST_LATE_PAYMENT_COUNT"", ""absolute_association"": 0.515396, ""method"": ""Spearman rho""}]",partial substitute candidate; important interactions may still differ
17,POS_LATEST_MONTH,POS/cash loan history,numeric,POS/cash loan history aggregate: latest month.,median imputation + missingness indicator when needed + LightGBM splits,context-dependent,No defensible monotonic sign follows from the field alone.,higher -> less risk,0.04473786181313076,0.0,0.04473786181313076,3370.7956902980804,0.0,3370.7956902980804,204,0.06035510655364537,0.0,-0.8666301985001412,-0.019999648487420765,-0.11460682047017635,-1.0583949136735618,{},0.014348105859959446,0.005442455962959336,Tier 1 - dominant,INST_DAYS_SINCE_DUE_MIN,0.7868033641069262,Spearman rho,"[{""feature"": ""INST_DAYS_SINCE_DUE_MIN"", ""absolute_association"": 0.786803, ""method"": ""Spearman rho""}, {""feature"": ""PREV_DAYS_SINCE_DECISION_MIN"", ""absolute_association"": 0.531543, ""method"": ""Spearman rho""}, {""feature"": ""PREV_RECENT_24M_COUNT"", ""absolute_association"": 0.504708, ""method"": ""Spearman rho""}]",partial substitute candidate; important interactions may still differ
18,BUREAU_DEBT_TO_CREDIT,Credit bureau,numeric,Credit bureau aggregate: debt to credit.,median imputation + missingness indicator when needed + LightGBM splits,higher -> more risk,"More arrears, burden, utilization, refusals, or missingness should raise risk.",higher -> more risk,0.040417340392642394,0.0034780165337818425,0.04389535692642424,7479.934592962265,360.2078056335449,7840.14239859581,297,0.17024736054805212,0.011595677019169807,0.8216259246532112,0.08334302598775367,0.1262286582639522,5.592988198088342,{},0.014077901857978055,0.012658622375275076,Tier 1 - dominant,BUREAU_DEBT_MEAN,0.8772038822344674,Spearman rho,"[{""feature"": ""BUREAU_DEBT_MEAN"", ""absolute_association"": 0.877204, ""method"": ""Spearman rho""}, {""feature"": ""BUREAU_DEBT_SUM"", ""absolute_association"": 0.804252, ""method"": ""Spearman rho""}, {""feature"": ""BUREAU_DEBT_MAX"", ""absolute_association"": 0.803058, ""method"": ""Spearman rho""}, {""feature"": ""BUREAU_ACTIVE_RATE"", ""absolute_association"": 0.623485, ""method"": ""Spearman rho""}]",partial substitute candidate; important interactions may still differ
19,EXT_SOURCE_3,External scores,numeric,Normalized score from external data source,median imputation + missingness indicator when needed + LightGBM splits,higher -> less risk,"Stronger score, resources, tenure, down payment, or repayment completeness should reduce risk.",higher -> less risk,0.03650526649783591,0.006070961461423358,0.04257622795925927,15150.431948900223,666.068452835083,15816.500401735306,356,0.19799683482559022,-0.021236471816175616,-0.7060374024314732,-0.17111348925090689,-0.1019360637558201,-11.833638485549047,{},0.013654837337306958,0.02553717722267555,Tier 1 - dominant,EXT_SOURCE_MEAN,0.6964560429121541,Spearman rho,"[{""feature"": ""EXT_SOURCE_MEAN"", ""absolute_association"": 0.696456, ""method"": ""Spearman rho""}, {""feature"": ""EXT_SOURCE_MIN"", ""absolute_association"": 0.602896, ""method"": ""Spearman rho""}, {""feature"": ""EXT_SOURCE_MAX"", ""absolute_association"": 0.600933, ""method"": ""Spearman rho""}]","related signal, but too weak to treat as a substitute"
20,INST_RECENT_24M_LATE_COUNT,Installment repayments,numeric,Installment repayments aggregate: recent 24m late count.,median imputation + missingness indicator when needed + LightGBM splits,higher -> more risk,"More arrears, burden, utilization, refusals, or missingness should raise risk.",higher -> more risk,0.04146968924882993,0.0,0.04146968924882993,5507.464836597443,0.0,5507.464836597443,132,0.05263728402020509,0.0,0.8159345203555032,0.0703160977373943,0.09998454832042716,3.9720438578636594,{},0.013299953712745284,0.008892302469414274,Tier 2 - material,INST_RECENT_12M_LATE_COUNT,0.7947406192841244,Spearman rho,"[{""feature"": ""INST_RECENT_12M_LATE_COUNT"", ""absolute_association"": 0.794741, ""method"": ""Spearman rho""}, {""feature"": ""INST_LATE_PAYMENT_COUNT"", ""absolute_association"": 0.661994, ""method"": ""Spearman rho""}, {""feature"": ""INST_LATE_PAYMENT_RATE"", ""absolute_association"": 0.631211, ""method"": ""Spearman rho""}, {""feature"": ""INST_SHORTFALL_MAX"", ""absolute_association"": 0.629273, ""method"": ""Spearman rho""}, {""feature"": ""INST_SHORTFALL_SUM"", ""absolute_association"": 0.626804, ""method"": ""Spearman rho""}]",partial substitute candidate; important interactions may still differ
21,OWN_CAR_AGE,Application financial,numeric,Age of client's car,median imputation + missingness indicator when needed + LightGBM splits,context-dependent,No defensible monotonic sign follows from the field alone.,higher -> more risk,0.033871109157239496,0.0066054239182543285,0.04047653307549382,2668.009690761566,527.2984566688538,3195.30814743042,165,0.6594619203503371,0.014678881211181272,0.8452453859718686,0.05063311538426231,0.14747559266342042,3.0859432743539146,{},0.012981433574925101,0.005159115377573479,Tier 2 - material,,,,[],low measured redundancy; not a demonstrated substitute
22,PREV_REFUSAL_RATE,Previous applications,numeric,Previous applications aggregate: refusal rate.,median imputation + missingness indicator when needed + LightGBM splits,higher -> more risk,"More arrears, burden, utilization, refusals, or missingness should raise risk.",higher -> more risk,0.03881039098595474,0.0,0.03881039098595474,7786.14767408371,0.0,7786.14767408371,246,0.054328267608992564,0.0,0.8050660634154694,0.06893510342063155,0.10458180101602099,4.2513866991535325,{},0.012447076721253917,0.012571442985781067,Tier 2 - material,PREV_REFUSED_COUNT,0.9770780702220578,Spearman rho,"[{""feature"": ""PREV_REFUSED_COUNT"", ""absolute_association"": 0.977078, ""method"": ""Spearman rho""}, {""feature"": ""PREV_APPROVAL_RATE"", ""absolute_association"": 0.689952, ""method"": ""Spearman rho""}, {""feature"": ""PREV_APPLICATION_COUNT"", ""absolute_association"": 0.523858, ""method"": ""Spearman rho""}, {""feature"": ""PREV_UNIQUE_APPLICATION_COUNT"", ""absolute_association"": 0.523858, ""method"": ""Spearman rho""}]",high redundancy candidate; validate with grouped ablation before removing
23,POS_ACTIVE_MONTH_COUNT,POS/cash loan history,numeric,POS/cash loan history aggregate: active month count.,median imputation + missingness indicator when needed + LightGBM splits,context-dependent,A larger count can mean deeper history or greater credit exposure; composition and recency matter.,higher -> less risk,0.03735625811095359,0.0,0.03735625811095359,3888.12064409256,0.0,3888.12064409256,159,0.06035510655364537,0.0,-0.9034251661832203,-0.05319161472798813,-0.10160412993572852,-3.8014300223681823,{},0.01198071441471114,0.006277724112752612,Tier 2 - material,POS_MONTH_COUNT,0.9963741875372633,Spearman rho,"[{""feature"": ""POS_MONTH_COUNT"", ""absolute_association"": 0.996374, ""method"": ""Spearman rho""}, {""feature"": ""POS_CONTRACT_COUNT"", ""absolute_association"": 0.841083, ""method"": ""Spearman rho""}, {""feature"": ""INST_PAYMENT_COUNT"", ""absolute_association"": 0.830628, ""method"": ""Spearman rho""}, {""feature"": ""INST_CONTRACT_COUNT"", ""absolute_association"": 0.81926, ""method"": ""Spearman rho""}, {""feature"": ""PREV_APPROVED_COUNT"", ""absolute_association"": 0.790898, ""method"": ""Spearman rho""}]",high redundancy candidate; validate with grouped ablation before removing
24,PREV_ANNUITY_MEAN,Previous applications,numeric,Previous applications aggregate: annuity mean.,median imputation + missingness indicator when needed + LightGBM splits,context-dependent,The aggregate can be beneficial or adverse depending on the underlying behavior and interactions.,higher -> less risk,0.03707081800008488,0.0,0.03707081800008488,3485.1220450401306,0.0,3485.1220450401306,260,0.05552062783185553,0.0,-0.9398980014630023,-0.03252115104257795,-0.10885681343100503,-2.148365773044436,{},0.011889169473548558,0.005627046252094971,Tier 2 - material,PREV_ANNUITY_MAX,0.9037182273979999,Spearman rho,"[{""feature"": ""PREV_ANNUITY_MAX"", ""absolute_association"": 0.903718, ""method"": ""Spearman rho""}, {""feature"": ""PREV_CREDIT_MEAN"", ""absolute_association"": 0.837165, ""method"": ""Spearman rho""}, {""feature"": ""PREV_APPLICATION_AMOUNT_MEAN"", ""absolute_association"": 0.829882, ""method"": ""Spearman rho""}, {""feature"": ""INST_DUE_MEAN"", ""absolute_association"": 0.784553, ""method"": ""Spearman rho""}, {""feature"": ""PREV_APPLICATION_AMOUNT_MAX"", ""absolute_association"": 0.784535, ""method"": ""Spearman rho""}]",high redundancy candidate; validate with grouped ablation before removing
25,NAME_INCOME_TYPE,Application categorical,categorical,"Clients income type (businessman, working, maternity leave,)",most-frequent imputation + ordinal encoding + LightGBM splits,category-dependent,Risk varies by category; no numeric ordering is assumed.,category-dependent,0.03545941523094624,0.0,0.03545941523094624,2775.8272910118103,0.0,2775.8272910118103,89,0.0,,,,,,"{""eligible_categories"": 4, ""highest_risk_category"": ""Working"", ""highest_risk_event_rate"": 0.09564962033812979, ""highest_risk_mean_shap"": 0.03327145001661258, ""lowest_risk_category"": ""State servant"", ""lowest_risk_event_rate"": 0.0616822429906542, ""lowest_risk_mean_shap"": -0.06153115169602974}",0.011372368344088968,0.004481825414573418,Tier 2 - material,,,,[],low measured redundancy; not a demonstrated substitute
26,AMT_GOODS_PRICE,Application financial,numeric,For consumer loans it is the price of the goods for which the loan is given,median imputation + missingness indicator when needed + LightGBM splits,context-dependent,No defensible monotonic sign follows from the field alone.,higher -> less risk,0.03255371293297466,0.0,0.03255371293297466,5240.364693403244,0.0,5240.364693403244,251,0.000845491794393739,0.0,-0.36709547146783716,-0.036405813034914955,-0.041146203218724094,-2.9388523878451265,{},0.010440465868665186,0.008461045015508485,Tier 2 - material,AMT_CREDIT,0.9851301201888157,Spearman rho,"[{""feature"": ""AMT_CREDIT"", ""absolute_association"": 0.98513, ""method"": ""Spearman rho""}, {""feature"": ""AMT_ANNUITY"", ""absolute_association"": 0.825974, ""method"": ""Spearman rho""}, {""feature"": ""CREDIT_TO_INCOME"", ""absolute_association"": 0.735133, ""method"": ""Spearman rho""}, {""feature"": ""CREDIT_TO_ANNUITY"", ""absolute_association"": 0.654209, ""method"": ""Spearman rho""}]",high redundancy candidate; validate with grouped ablation before removing
27,INST_LATE_PAYMENT_RATE,Installment repayments,numeric,Installment repayments aggregate: late payment rate.,median imputation + missingness indicator when needed + LightGBM splits,higher -> more risk,"More arrears, burden, utilization, refusals, or missingness should raise risk.",higher -> more risk,0.03207733440197684,0.0,0.03207733440197684,5201.754661083221,0.0,5201.754661083221,185,0.05263728402020509,0.0,0.8924227982587667,0.06582899759485239,0.08855029988634419,4.113981608141935,{},0.010287684101384512,0.008398705609642098,Tier 2 - material,INST_LATE_DAYS_MEAN,0.958644975607514,Spearman rho,"[{""feature"": ""INST_LATE_DAYS_MEAN"", ""absolute_association"": 0.958645, ""method"": ""Spearman rho""}, {""feature"": ""INST_LATE_PAYMENT_COUNT"", ""absolute_association"": 0.943765, ""method"": ""Spearman rho""}, {""feature"": ""INST_LATE_DAYS_SUM"", ""absolute_association"": 0.92428, ""method"": ""Spearman rho""}, {""feature"": ""INST_LATE_DAYS_MAX"", ""absolute_association"": 0.896744, ""method"": ""Spearman rho""}, {""feature"": ""INST_SHORT_PAYMENT_RATE"", ""absolute_association"": 0.829137, ""method"": ""Spearman rho""}]",high redundancy candidate; validate with grouped ablation before removing
28,INST_LATE_DAYS_MEAN,Installment repayments,numeric,Installment repayments aggregate: late days mean.,median imputation + missingness indicator when needed + LightGBM splits,higher -> more risk,"More arrears, burden, utilization, refusals, or missingness should raise risk.",higher -> more risk,0.029707851273486883,0.0,0.029707851273486883,4764.585028171539,0.0,4764.585028171539,217,0.05263728402020509,0.0,0.9237158885237919,0.06287320749410649,0.0849936525195867,4.153272011288858,{},0.009527755186968146,0.007692855509526856,Tier 2 - material,INST_LATE_DAYS_SUM,0.9765785984114443,Spearman rho,"[{""feature"": ""INST_LATE_DAYS_SUM"", ""absolute_association"": 0.976579, ""method"": ""Spearman rho""}, {""feature"": ""INST_LATE_DAYS_MAX"", ""absolute_association"": 0.973398, ""method"": ""Spearman rho""}, {""feature"": ""INST_LATE_PAYMENT_RATE"", ""absolute_association"": 0.958645, ""method"": ""Spearman rho""}, {""feature"": ""INST_LATE_PAYMENT_COUNT"", ""absolute_association"": 0.929579, ""method"": ""Spearman rho""}, {""feature"": ""INST_SHORT_PAYMENT_RATE"", ""absolute_association"": 0.842805, ""method"": ""Spearman rho""}]",high redundancy candidate; validate with grouped ablation before removing
